Region,Feature,U_statistic,AUC,p_value,hup_n,mni_n,p_value_bonferroni_threshold,significant_bonferroni,p_value_fdr,significant_fdr
ctx-lh-fusiform,alphaRel_mean,16.0,0.20512820512820512,0.046218487394957986,13,6,0.00021645021645021645,False,0.42705882352941177,False
ctx-lh-fusiform,betaRel_mean,30.0,0.38461538461538464,0.4670499778858912,13,6,0.00021645021645021645,False,0.7541199689647481,False
ctx-lh-fusiform,gammaRel_mean,64.0,0.8205128205128205,0.02852720035382574,13,6,0.00021645021645021645,False,0.3876343106902203,False
ctx-lh-fusiform,entropy_1min_mean,46.0,0.5897435897435898,0.5788736547250479,13,6,0.00021645021645021645,False,0.8305578524315904,False
ctx-lh-fusiform,entropy_fullts_mean,46.0,0.5897435897435898,0.5788736547250479,13,6,0.00021645021645021645,False,0.8305578524315904,False
ctx-lh-inferiortemporal,deltaRel_mean,104.0,0.5333333333333333,0.7822469515625688,15,13,0.00021645021645021645,False,0.9416814094058678,False
ctx-lh-inferiortemporal,thetaRel_mean,84.0,0.4307692307692308,0.5492732687760808,15,13,0.00021645021645021645,False,0.8133469556876581,False
ctx-lh-inferiortemporal,alphaRel_mean,34.0,0.17435897435897435,0.0037065047065743028,15,13,0.00021645021645021645,False,0.24099587866657926,False
ctx-lh-inferiortemporal,betaRel_mean,87.0,0.4461538461538462,0.6450472646857882,15,13,0.00021645021645021645,False,0.8898399646554926,False
ctx-lh-inferiortemporal,gammaRel_mean,137.0,0.7025641025641025,0.07240734006074494,15,13,0.00021645021645021645,False,0.4401604093166337,False
ctx-lh-inferiortemporal,entropy_1min_mean,111.0,0.5692307692307692,0.5492732687760808,15,13,0.00021645021645021645,False,0.8133469556876581,False
ctx-lh-inferiortemporal,entropy_fullts_mean,111.0,0.5692307692307692,0.5492732687760808,15,13,0.00021645021645021645,False,0.8133469556876581,False
ctx-lh-rostralmiddlefrontal,deltaRel_mean,117.0,0.6428571428571429,0.2159322942283799,13,14,0.00021645021645021645,False,0.6158069131698242,False
ctx-lh-rostralmiddlefrontal,thetaRel_mean,114.0,0.6263736263736264,0.27490406320117466,13,14,0.00021645021645021645,False,0.6865466022991971,False
ctx-lh-rostralmiddlefrontal,alphaRel_mean,85.0,0.46703296703296704,0.7895508747416392,13,14,0.00021645021645021645,False,0.9416814094058678,False
ctx-lh-rostralmiddlefrontal,betaRel_mean,47.0,0.25824175824175827,0.0347819484147747,13,14,0.00021645021645021645,False,0.4019356859345786,False
ctx-lh-rostralmiddlefrontal,gammaRel_mean,97.0,0.532967032967033,0.7895508747416392,13,14,0.00021645021645021645,False,0.9416814094058678,False
ctx-lh-rostralmiddlefrontal,entropy_1min_mean,108.0,0.5934065934065934,0.4233159874752107,13,14,0.00021645021645021645,False,0.7479128162641004,False
ctx-lh-rostralmiddlefrontal,entropy_fullts_mean,108.0,0.5934065934065934,0.4233159874752107,13,14,0.00021645021645021645,False,0.7479128162641004,False
ctx-rh-lateralorbitofrontal,deltaRel_mean,73.0,0.73,0.08897301170181328,10,10,0.00021645021645021645,False,0.5012869683687529,False
ctx-rh-lateralorbitofrontal,thetaRel_mean,64.0,0.64,0.3074894566186813,10,10,0.00021645021645021645,False,0.6978025798544186,False
ctx-rh-lateralorbitofrontal,alphaRel_mean,45.0,0.45,0.7337299956962472,10,10,0.00021645021645021645,False,0.9283209832681995,False
ctx-rh-lateralorbitofrontal,betaRel_mean,25.0,0.25,0.06402210128302689,10,10,0.00021645021645021645,False,0.42898198953074085,False
ctx-rh-lateralorbitofrontal,gammaRel_mean,36.0,0.36,0.3074894566186813,10,10,0.00021645021645021645,False,0.6978025798544186,False
ctx-rh-lateralorbitofrontal,entropy_1min_mean,64.0,0.64,0.3074894566186813,10,10,0.00021645021645021645,False,0.6978025798544186,False
ctx-rh-lateralorbitofrontal,entropy_fullts_mean,64.0,0.64,0.3074894566186813,10,10,0.00021645021645021645,False,0.6978025798544186,False
ctx-lh-middletemporal,deltaRel_mean,110.0,0.6111111111111112,0.34134931395475887,15,12,0.00021645021645021645,False,0.6978025798544186,False
ctx-lh-middletemporal,thetaRel_mean,146.0,0.8111111111111111,0.006766500035059633,15,12,0.00021645021645021645,False,0.24099587866657926,False
ctx-lh-middletemporal,alphaRel_mean,37.0,0.20555555555555555,0.010414994659063266,15,12,0.00021645021645021645,False,0.24099587866657926,False
ctx-lh-middletemporal,betaRel_mean,58.0,0.32222222222222224,0.12428287406255235,15,12,0.00021645021645021645,False,0.5175949042849266,False
ctx-lh-middletemporal,gammaRel_mean,110.0,0.6111111111111112,0.34134931395475887,15,12,0.00021645021645021645,False,0.6978025798544186,False
ctx-lh-middletemporal,entropy_1min_mean,69.0,0.38333333333333336,0.31716652052312344,15,12,0.00021645021645021645,False,0.6978025798544186,False
ctx-lh-middletemporal,entropy_fullts_mean,69.0,0.38333333333333336,0.31716652052312344,15,12,0.00021645021645021645,False,0.6978025798544186,False
ctx-rh-rostralmiddlefrontal,deltaRel_mean,252.0,0.7159090909090909,0.02560146369829091,16,22,0.00021645021645021645,False,0.3876343106902203,False
ctx-rh-rostralmiddlefrontal,thetaRel_mean,204.0,0.5795454545454546,0.41618678630843964,16,22,0.00021645021645021645,False,0.7479128162641004,False
ctx-rh-rostralmiddlefrontal,alphaRel_mean,143.0,0.40625,0.336611178667219,16,22,0.00021645021645021645,False,0.6978025798544186,False
ctx-rh-rostralmiddlefrontal,betaRel_mean,87.0,0.2471590909090909,0.008882144147300956,16,22,0.00021645021645021645,False,0.24099587866657926,False
ctx-rh-rostralmiddlefrontal,gammaRel_mean,156.0,0.4431818181818182,0.564257277941103,16,22,0.00021645021645021645,False,0.8302129376076103,False
ctx-rh-rostralmiddlefrontal,entropy_1min_mean,262.0,0.7443181818181818,0.01147599422221806,16,22,0.00021645021645021645,False,0.24099587866657926,False
ctx-rh-rostralmiddlefrontal,entropy_fullts_mean,262.0,0.7443181818181818,0.01147599422221806,16,22,0.00021645021645021645,False,0.24099587866657926,False
ctx-rh-superiortemporal,deltaRel_mean,52.0,0.6933333333333334,0.23000515995872037,5,15,0.00021645021645021645,False,0.6404948235542078,False
ctx-rh-superiortemporal,thetaRel_mean,35.0,0.4666666666666667,0.8659700722394221,5,15,0.00021645021645021645,False,0.9596774193548387,False
ctx-rh-superiortemporal,alphaRel_mean,18.0,0.24,0.09829721362229103,5,15,0.00021645021645021645,False,0.5038067844029868,False
ctx-rh-superiortemporal,betaRel_mean,22.0,0.29333333333333333,0.1973684210526316,5,15,0.00021645021645021645,False,0.5936434533840185,False
ctx-rh-superiortemporal,gammaRel_mean,42.0,0.56,0.7354231166150671,5,15,0.00021645021645021645,False,0.9283209832681995,False
ctx-rh-superiortemporal,entropy_1min_mean,59.0,0.7866666666666666,0.06553147574819401,5,15,0.00021645021645021645,False,0.42898198953074085,False
