mni_x,mni_y,mni_z,x,y,z,roiNum,snum,abvr,lobe,isSideLeft
-51.397800000000004,-68.81135,-9.920567122479264,-51.3978,-68.81135,-9.920567122479264,1009,22,InTem_L,Temporal,1
-28.262349999999998,-62.3829,-11.78741173090905,-28.26235,-62.3829,-11.78741173090905,1007,20,Fusi_L,Temporal,1
-37.947900000000004,-71.54105000000001,1.900539709902242,-37.9479,-71.54105000000001,1.900539709902242,1011,24,LOcc_L,Occipital,1
-41.574600000000004,-72.5986,4.91205874910379,-41.5746,-72.5986,4.91205874910379,1011,24,LOcc_L,Occipital,1
-44.9247,-73.19765000000001,7.264842385202201,-44.9247,-73.19765000000001,7.264842385202201,1011,24,LOcc_L,Occipital,1
-47.8037,-74.72755000000001,10.483379198526396,-47.8037,-74.72755000000001,10.483379198526396,1011,24,LOcc_L,Occipital,1
-33.2705,-7.708955,1.558185692527085,-33.2705,-7.708955,1.558185692527085,12,3,Put_L,Subcortical,1
-32.54905,-7.38172,7.8357469433949,-32.54905,-7.38172,7.8357469433949,12,3,Put_L,Subcortical,1
-40.1794,6.603714999999999,-4.397811650681185,-40.1794,6.603714999999999,-4.397811650681185,1035,48,Ins_L,Subcortical,1
-39.9863,7.86925,1.0802971939957449,-39.9863,7.86925,1.0802971939957449,1018,31,ParOpr_L,Frontal,1
-40.70935,8.99508,7.336805584829619,-40.70935,8.99508,7.336805584829619,1018,31,ParOpr_L,Frontal,1
-39.6828,11.894449999999999,19.5288793713382,-39.6828,11.89445,19.5288793713382,1018,31,ParOpr_L,Frontal,1
-37.9534,14.3281,26.33149631426365,-37.9534,14.3281,26.33149631426365,1018,31,ParOpr_L,Frontal,1
-37.8908,15.93165,33.717414585732,-37.8908,15.93165,33.717414585732,1003,17,CaMFr_L,Frontal,1
-14.583750000000002,23.9488,-17.6041347393937,-14.583750000000002,23.9488,-17.6041347393937,1012,25,LObFr_L,Frontal,1
16.7265,-8.064465,-21.749713304432397,16.7265,-8.064465,-21.749713304432397,53,12,Hip_R,Subcortical,0
21.758850000000002,-7.820785,-23.27092921378565,21.75885,-7.820785,-23.27092921378565,53,12,Hip_R,Subcortical,0
27.7145,-8.372965,-23.61106353442215,27.7145,-8.372965,-23.61106353442215,53,12,Hip_R,Subcortical,0
33.977199999999996,-9.34471,-23.37539344861775,33.977199999999996,-9.34471,-23.37539344861775,53,12,Hip_R,Subcortical,0
28.3833,2.98072,-1.5811121599181652,28.3833,2.98072,-1.5811121599181652,51,10,Put_R,Subcortical,0
27.93235,2.24612,4.1516152918496,27.93235,2.24612,4.1516152918496,51,10,Put_R,Subcortical,0
27.50565,1.9475099999999999,9.553155160786215,27.50565,1.94751,9.553155160786217,51,10,Put_R,Subcortical,0
-27.67355,3.629315,-24.64036161474045,-27.67355,3.629315,-24.64036161474045,1035,48,Ins_L,Subcortical,1
-32.78815,2.84086,-25.25275169769815,-32.78815,2.84086,-25.25275169769815,1035,48,Ins_L,Subcortical,1
-45.98175,3.119225,-24.5865649633148,-45.98175,3.119225,-24.5865649633148,1030,43,SpTmp_L,Temporal,1
-50.850750000000005,3.497425,-23.83402885493135,-50.850750000000005,3.497425,-23.83402885493135,1015,28,MTem_L,Temporal,1
-55.81570000000001,3.15662,-23.924322115521647,-55.81570000000001,3.15662,-23.924322115521647,1015,28,MTem_L,Temporal,1
-37.83285,-29.33305,-21.4058078104183,-37.83285,-29.33305,-21.4058078104183,1007,20,Fusi_L,Temporal,1
-41.1814,-32.822050000000004,-20.92882041930425,-41.1814,-32.822050000000004,-20.92882041930425,1007,20,Fusi_L,Temporal,1
-43.2197,-37.014300000000006,-20.0163297880531,-43.2197,-37.014300000000006,-20.0163297880531,1009,22,InTem_L,Temporal,1
-44.4109,-41.44345,-18.66254369847175,-44.4109,-41.44345,-18.66254369847175,1009,22,InTem_L,Temporal,1
-46.96045,-44.669700000000006,-17.39584750257875,-46.96045,-44.669700000000006,-17.39584750257875,1009,22,InTem_L,Temporal,1
-51.91135,-46.4118,-16.0552181091187,-51.91135,-46.4118,-16.0552181091187,1009,22,InTem_L,Temporal,1
-17.6812,37.056200000000004,27.27751461217115,-17.6812,37.0562,27.27751461217115,1027,40,RMFr_L,Frontal,1
-20.9589,38.054249999999996,28.0803077670009,-20.9589,38.05425,28.0803077670009,1027,40,RMFr_L,Frontal,1
-24.170900000000003,38.8534,28.718113769435902,-24.170900000000003,38.8534,28.718113769435902,1027,40,RMFr_L,Frontal,1
-27.825850000000003,39.65555,29.2424442281112,-27.825850000000003,39.65555,29.2424442281112,1027,40,RMFr_L,Frontal,1
-32.6408,39.698449999999994,28.09359525412875,-32.6408,39.698449999999994,28.09359525412875,1027,40,RMFr_L,Frontal,1
-38.92765,39.23635,27.123042387491502,-38.92765,39.23635,27.123042387491505,1027,40,RMFr_L,Frontal,1
-44.90585,39.15815,27.255473055671352,-44.90585,39.15815,27.255473055671352,1027,40,RMFr_L,Frontal,1
29.95205,-5.090315,-33.3243904664755,29.95205,-5.090315,-33.3243904664755,2006,53,Ethr_R,Temporal,0
34.8236,-5.201425,-32.3441530244993,34.8236,-5.201425,-32.3441530244993,2007,54,Fusi_R,Temporal,0
38.7381,-4.392205000000001,-30.09959306015155,38.7381,-4.392205000000001,-30.09959306015155,2007,54,Fusi_R,Temporal,0
47.75035,-0.20320899999999997,-24.514206965948148,47.75035,-0.2032089999999999,-24.514206965948148,2015,62,MTem_R,Temporal,0
52.050399999999996,0.982354,-22.2281635441081,52.0504,0.982354,-22.2281635441081,2015,62,MTem_R,Temporal,0
55.993449999999996,2.100015,-21.6855384160252,55.99345,2.100015,-21.6855384160252,2015,62,MTem_R,Temporal,0
35.49995,-23.335,-20.22048601043535,35.49995,-23.335,-20.22048601043535,2016,63,ParHip_R,Temporal,0
38.41395,-25.5527,-21.223936803311602,38.41395,-25.5527,-21.2239368033116,2007,54,Fusi_R,Temporal,0
40.98465,-28.05155,-20.91958076827085,40.98465,-28.05155,-20.91958076827085,2007,54,Fusi_R,Temporal,0
43.472,-30.508850000000002,-20.736526322226403,43.472,-30.50885,-20.736526322226403,2007,54,Fusi_R,Temporal,0
46.07235,-33.1724,-21.8797692851087,46.07235,-33.1724,-21.8797692851087,2007,54,Fusi_R,Temporal,0
49.7887,-35.4768,-23.0189822055563,49.7887,-35.4768,-23.0189822055563,2009,56,InTem_R,Temporal,0
36.84395,-29.792450000000002,-17.7295562622639,36.84395,-29.79245,-17.7295562622639,2007,54,Fusi_R,Temporal,0
39.3712,-32.114850000000004,-16.99272527935045,39.3712,-32.114850000000004,-16.99272527935045,2007,54,Fusi_R,Temporal,0
50.98675,-41.2166,-14.5559414468539,50.98675,-41.2166,-14.5559414468539,2009,56,InTem_R,Temporal,0
56.947050000000004,-43.330799999999996,-11.529628075001149,56.94705,-43.3308,-11.529628075001147,2015,62,MTem_R,Temporal,0
